fid,id_renabap,nombre_barrio,provincia,departamento,localidad,cantidad_viviendas_aproximadas,cantidad_familias_aproximada,decada_de_creacion,anio_de_creacion,energia_electrica,efluentes_cloacales,agua_corriente,cocina,calefaccion,titulo_propiedad,clasificacion_barrio,superficie_m2,WKT
1011,1122,Paredón,Buenos Aires,Tres de Febrero,Ciudadela,100,110,Década 1940,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Villa,13656,"MULTIPOLYGON (((-58.5488722580482 -34.6219413526113,-58.5489502283703 -34.621875294709,-58.5492934649066 -34.6220294402243,-58.5494696320485 -34.6216833091296,-58.5497507889757 -34.6217973158629,-58.5505765180184 -34.6211970987653,-58.5501003559537 -34.6209744923278,-58.5497873037113 -34.6207809999487,-58.5496968447823 -34.6206975241565,-58.5481522936851 -34.6218728646587,-58.5482467206004 -34.6219387725249,-58.5485816010097 -34.6216855161722,-58.5488722580482 -34.6219413526113)))"
1012,1123,Las Palmeras,Buenos Aires,Merlo,Mariano Acosta,55,61,Década 1990,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo domiciliaria,Gas en garrafa,Leña o carbón,NO,Asentamiento,58076,"MULTIPOLYGON (((-58.8100032044573 -34.6889245998751,-58.8113562234042 -34.6901797823397,-58.8116351174477 -34.6904399507364,-58.8120214563542 -34.690838866728,-58.8115631796782 -34.6911674691421,-58.8106173345771 -34.6918634541043,-58.8099234740404 -34.6912030707852,-58.8094994949795 -34.6914586188308,-58.8088250291459 -34.6908055032842,-58.8097144453648 -34.690245544495,-58.8085502622901 -34.6890283919972,-58.8084397285822 -34.6889292682565,-58.8087214635223 -34.6887279397956,-58.8090125543035 -34.6885381589725,-58.809347921893 -34.6883205514167,-58.8100032044573 -34.6889245998751)))"
1013,1126,Mataderos,Buenos Aires,San Vicente,Alejandro Korn,1000,1100,Década 1960,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo domiciliaria,Gas en garrafa,Energía eléctrica,NO,Asentamiento,671289,"MULTIPOLYGON (((-58.3747508296291 -34.9993573529343,-58.3816566575791 -35.006161726325,-58.384406040852 -35.0022275380627,-58.3854438768008 -35.0007665268219,-58.386389564332 -34.9994907031833,-58.386778055935 -34.9989431250016,-58.3880183414109 -34.9972814283564,-58.3870867693027 -34.9968107614997,-58.3884262501773 -34.9947106933629,-58.3861094569791 -34.9930809823034,-58.3837595058155 -34.9963167401444,-58.3853392335162 -34.9970107771756,-58.3843040579935 -34.9983644224944,-58.3812368116287 -34.9969946974682,-58.3792369004192 -34.9997461732704,-58.3780201408018 -34.9991375329679,-58.3780431369262 -34.99899153411,-58.3759396054078 -34.9979621329395,-58.3747508296291 -34.9993573529343)))"
1014,1127,Diez de Noviembre,Buenos Aires,Quilmes,Bernal Oeste,141,155,Década 1980,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Villa,14497,"MULTIPOLYGON (((-58.340757 -34.746012,-58.339681 -34.7453,-58.339365 -34.745646,-58.3416570413197 -34.7468668883256,-58.3419720580912 -34.7463153911245,-58.342141 -34.745798,-58.3425448726188 -34.7446550551602,-58.34227 -34.744592,-58.3420678433927 -34.7453685487744,-58.3420299612368 -34.7454264206173,-58.3417617019479 -34.7460547451619,-58.341511 -34.746492,-58.340757 -34.746012)))"
1015,1128,Pinazo,Buenos Aires,Pilar,La Lonja,1205,1326,Década 1980,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo comunitaria,Gas en garrafa,Energía eléctrica,NO,Asentamiento,839516,"MULTIPOLYGON (((-58.8208640974991 -34.4428094566976,-58.8209722243712 -34.4421838016471,-58.8209732134749 -34.44111173346,-58.8100218325785 -34.4473703280433,-58.8086203318197 -34.449228997501,-58.8096729687371 -34.4497726627652,-58.8085637176317 -34.4512163214742,-58.811175 -34.452578,-58.813863 -34.449206,-58.815416 -34.450051,-58.812819 -34.45348,-58.813684 -34.453844,-58.817118 -34.449402,-58.8184002524843 -34.4501028784711,-58.8203244069623 -34.4511136946091,-58.820535892091 -34.4526146621638,-58.8209447174094 -34.4522375864892,-58.8218517238492 -34.4518544520062,-58.822774887 -34.4514708999999,-58.82366538 -34.450311927,-58.8222726460534 -34.4495547452513,-58.8221551555814 -34.4495360690725,-58.821778417964 -34.4492498841369,-58.8217719325601 -34.448582824657,-58.8211704072719 -34.447839360235,-58.8213172320663 -34.4475553410179,-58.8211244228198 -34.4468172039267,-58.8212818936873 -34.4461818480697,-58.8212320653882 -34.4458340433688,-58.8203505346901 -34.4450870507028,-58.8202522711103 -34.4441341021687,-58.8202023560268 -34.4439706296548,-58.8198748701481 -34.4436164522395,-58.8206140339338 -34.4429337025501,-58.8208640974991 -34.4428094566976)))"
1016,1129,Los Hornos,Buenos Aires,San Vicente,Alejandro Korn,300,330,Década 2000,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo domiciliaria,Gas en garrafa,Energía eléctrica,NO,Asentamiento,349561,"MULTIPOLYGON (((-58.3608134863991 -34.9881601271343,-58.3583905914422 -34.9868953197289,-58.3509668570097 -34.9970969628621,-58.3535017999999 -34.9983385892079,-58.3608134863991 -34.9881601271343)))"
1017,1130,Versalles,Buenos Aires,San Vicente,Alejandro Korn,60,66,Década 1970,,Conexión irregular a la red,Desagüe a cámara séptica y pozo ciego,Bomba de agua de pozo domiciliaria,Gas en garrafa,Energía eléctrica,NO,Asentamiento,120552,"MULTIPOLYGON (((-58.3745020142333 -34.9994365124586,-58.3740383796433 -34.9991645597803,-58.3736164769164 -34.9989540031735,-58.3733002307759 -34.9994081739406,-58.3732610273329 -34.9993887002135,-58.3731361516963 -34.9995640211684,-58.3733858440951 -34.999690622905,-58.3732847614482 -34.9998496377808,-58.3730212912725 -34.9997130437708,-58.3727273155821 -35.000089349206,-58.3727955827619 -35.0001274450994,-58.3725088394868 -35.0005517967395,-58.3709553781954 -34.9997794609794,-58.371557382089 -34.9989742108228,-58.3727067580724 -34.9973615123254,-58.3732493557118 -34.9966388805552,-58.3742253432373 -34.9971298880766,-58.3747746572489 -34.9963430432037,-58.3752941537431 -34.9956248028347,-58.37582 -34.995893,-58.3769666383706 -34.9964434876952,-58.3757695654524 -34.9979460114371,-58.3745020142333 -34.9994365124586)))"
1018,1131,Santa Rosa,Buenos Aires,San Vicente,San Vicente,20,22,Década 2000,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Sin Datos,NO,Asentamiento,8530,"MULTIPOLYGON (((-58.4106162520537 -35.0421064770207,-58.4101040365216 -35.0426363516324,-58.4101306246286 -35.0426647399857,-58.4100794789999 -35.0427297059999,-58.4103246488634 -35.0429472656038,-58.4100726548827 -35.0431360292673,-58.4092698636742 -35.0427346336631,-58.4100763999458 -35.0417759553221,-58.4106162520537 -35.0421064770207)))"
1019,1132,Los Pinos,Buenos Aires,Escobar,Maquinista Savio,230,253,Década 2000,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo domiciliaria,Gas en garrafa,Energía eléctrica,NO,Villa,76167,"MULTIPOLYGON (((-58.752703614842 -34.4118222094797,-58.7535987958692 -34.4124437370849,-58.7536633241831 -34.4126937478748,-58.7535733337889 -34.413078402587,-58.7533987380124 -34.4133651764099,-58.7535919056539 -34.4136482916014,-58.7538996408693 -34.4138327086999,-58.7560073519456 -34.4112520365168,-58.7562595598397 -34.4111934102356,-58.7566087888183 -34.4107533280813,-58.7545393843353 -34.4095750682858,-58.752703614842 -34.4118222094797)))"
1020,1133,El Arroyo,Buenos Aires,Avellaneda,Villa Domínico,320,352,Década 1990,,Conexión formal a la red con medidor domiciliario con factura,Conexión formal a la red cloacal,Conexión formal a la red de agua con factura,Conexión formal a la red de gas con factura,Conexión formal a la red de gas con factura,NO,Villa,61696,"MULTIPOLYGON (((-58.3247504519327 -34.6864763929071,-58.3222262899955 -34.6842874788428,-58.3221244764573 -34.6842146585857,-58.3214760050136 -34.6836843787311,-58.3213905218735 -34.6836334839803,-58.3204347059139 -34.684486366466,-58.3210686932616 -34.685089625898,-58.3210819390605 -34.6851760832951,-58.3236179041067 -34.6873619158908,-58.3247504519327 -34.6864763929071)))"
1021,1134,Villa Luján,Buenos Aires,Quilmes,Quilmes,3080,3388,Década 1980,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Villa,746701,"MULTIPOLYGON (((-58.2314449296846 -34.7282515502964,-58.230574089236 -34.7277947184764,-58.2320020001954 -34.7268044952224,-58.2338439151311 -34.7277515464851,-58.2352599009077 -34.7268458445723,-58.2345254150939 -34.7264874709564,-58.2339898659289 -34.7268696089108,-58.2328245503505 -34.7262301778654,-58.2338215260462 -34.7256215492689,-58.2346190543332 -34.7260692641772,-58.2349060860774 -34.7257177654103,-58.2341819588578 -34.7253077284308,-58.2354458616707 -34.7244567215493,-58.2383890954965 -34.7216200843484,-58.2342638814133 -34.7191598905928,-58.232949 -34.72075,-58.2347257319066 -34.7217683928024,-58.2341754598196 -34.7224314821792,-58.2311813269658 -34.7206697736692,-58.2288139524276 -34.7227492125056,-58.2272068543065 -34.7242791657925,-58.228221168376 -34.7249014050542,-58.2258419414318 -34.727551415305,-58.22507311851 -34.727060793108,-58.2252836154675 -34.72682598423,-58.2246819232551 -34.7264269026606,-58.2236182173798 -34.7275167023308,-58.2241308837036 -34.727803734075,-58.2235614250026 -34.7284791028847,-58.222954218782 -34.728117373312,-58.2222411738013 -34.7288426802437,-58.2228888318374 -34.7292750180604,-58.2214858341872 -34.7306747624431,-58.2235064638395 -34.7317255510507,-58.2274064732047 -34.7291876894352,-58.2276708154484 -34.7293161578884,-58.2274904573239 -34.7297417864524,-58.2287948376693 -34.7305212405894,-58.2290854823259 -34.7301786976227,-58.228304355962 -34.7297101160334,-58.2280964611631 -34.7295172860841,-58.2302519086659 -34.7280181199147,-58.2304409772874 -34.7281583027001,-58.2311930925528 -34.7285665938442,-58.2314449296846 -34.7282515502964)))"
1022,1135,La Matera,Buenos Aires,Quilmes,Quilmes Oeste,2390,2629,Década 2000,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Asentamiento,701390,"MULTIPOLYGON (((-58.3225045497476 -34.7573713951836,-58.3214531600809 -34.7586720623704,-58.3197634259701 -34.760793588712,-58.318307642956 -34.7625675854154,-58.3177914719898 -34.7631458575653,-58.3157318253485 -34.7621071020961,-58.3158647808926 -34.7619484267038,-58.3159974229201 -34.7618045174114,-58.3117896871308 -34.7595151328181,-58.3103153353925 -34.7587412690874,-58.3096831642549 -34.7583182893377,-58.3118296682361 -34.7567854457357,-58.3133050681475 -34.7557352630688,-58.3135789957598 -34.755217659235,-58.3147043034263 -34.7559099785082,-58.315669441001 -34.7565203566045,-58.3174677704089 -34.7542631149348,-58.3181362518818 -34.7534326393241,-58.3184734010678 -34.7529651111576,-58.3183393139191 -34.752830971516,-58.3182834628962 -34.7527458297345,-58.3174968322677 -34.7522468939303,-58.317147010722 -34.7519847729686,-58.31817814438 -34.7509359374453,-58.3190153642217 -34.751619214286,-58.319343868 -34.751912337,-58.319598406 -34.7522077689999,-58.319857505 -34.7525190229999,-58.32014215 -34.7528446009999,-58.3203281204341 -34.753204924911,-58.3200557935307 -34.7536317363558,-58.3199806024298 -34.7538291710934,-58.3199434640665 -34.7539579384512,-58.3221829290557 -34.7555651765329,-58.3222585959802 -34.7557226908374,-58.3222182325217 -34.7560540574189,-58.3227853523225 -34.7567662445122,-58.3227914950364 -34.7569579907198,-58.3225045497476 -34.7573713951836)))"
1023,1136,Las Tunas,Buenos Aires,Almirante Brown,Solano,131,144,Década 1950,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo comunitaria,Gas en garrafa,Energía eléctrica,NO,Villa,24300,"MULTIPOLYGON (((-58.3265281640691 -34.7896959455393,-58.3273562426053 -34.7885422636955,-58.3258591515362 -34.7877986710576,-58.3249847515361 -34.7889674581648,-58.3265281640691 -34.7896959455393)))"
1024,1137,Arroyo Basualdo,Buenos Aires,Malvinas Argentinas,Sourdeaux,229,252,Década 1970,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo domiciliaria,Gas en garrafa,Energía eléctrica,NO,Villa,41535,"MULTIPOLYGON (((-58.6657105867013 -34.5073007750486,-58.6657961746438 -34.5072019866409,-58.665564973 -34.506894234,-58.6656759379848 -34.5067997003191,-58.6624050114978 -34.5041456658689,-58.6614056162651 -34.5051234889944,-58.6621216075926 -34.5055806673158,-58.6622249401289 -34.5056247829573,-58.6624077692737 -34.505462485838,-58.6633537787762 -34.5061018539514,-58.6634941018071 -34.5059768476629,-58.6634733933823 -34.5059604693002,-58.663613015828 -34.5058493202899,-58.6640582662108 -34.5062082914088,-58.6641711701633 -34.5061188830799,-58.6648019555458 -34.5066140587918,-58.6648312284784 -34.506771398781,-58.6649443811782 -34.506782714051,-58.6649142071249 -34.5069109537774,-58.6649407449823 -34.5071011604191,-58.6650751790019 -34.5073520611563,-58.6649557674946 -34.5074390878436,-58.6654120799036 -34.5080009932512,-58.6653858583706 -34.508099323325,-58.6656435973035 -34.5082861985588,-58.6657361485485 -34.5081966207038,-58.6657105867013 -34.5073007750486)))"
1025,1138,Villa Luján III,Buenos Aires,Quilmes,Quilmes,480,528,Década 2000,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Sin Datos,NO,Asentamiento,337631,"MULTIPOLYGON (((-58.2253004613881 -34.7153718392375,-58.2262294780156 -34.7159210862549,-58.2264928904341 -34.7159944070968,-58.2270864454756 -34.7155630006067,-58.2273793652953 -34.7150969170319,-58.2293293210754 -34.7162841090688,-58.2289961547606 -34.7166713610108,-58.2291544079508 -34.7167604055802,-58.227243923279 -34.7189192636942,-58.227878488197 -34.7193064912553,-58.2280916520597 -34.7190662462302,-58.2282005482077 -34.7191342130903,-58.2286132330338 -34.7186878389962,-58.2285930509682 -34.7186201870678,-58.2287081045954 -34.718503360261,-58.2288492603756 -34.7185948673,-58.2290783046475 -34.7183322201276,-58.2289431753157 -34.7182393411987,-58.2296799055251 -34.7174174777207,-58.2302201743453 -34.7177449133693,-58.2308586738601 -34.7181967745644,-58.2299876950348 -34.7189695226952,-58.2291036187835 -34.7184390769444,-58.2288546956878 -34.7187085408897,-58.2296121290654 -34.7191937111028,-58.2291203124164 -34.7196997578966,-58.2295137202223 -34.7199511085033,-58.2302333283364 -34.7192117451055,-58.2305508898322 -34.7193196006242,-58.2322977535358 -34.7180854464439,-58.2336042217738 -34.7168772089005,-58.2338367010843 -34.7167986243448,-58.2339120112835 -34.7166283578075,-58.2340691803949 -34.7165563219648,-58.234272190497 -34.7165661450343,-58.2345374133724 -34.7166741987983,-58.235528454041 -34.7160503399415,-58.2352836452172 -34.7158443896611,-58.2354002208476 -34.7156636974341,-58.2356100569823 -34.7153868303119,-58.2355221395277 -34.7153285424967,-58.2357382901757 -34.7150050451224,-58.2355070818421 -34.7148583541209,-58.2355954850285 -34.7147495501992,-58.2354483082951 -34.7146689187215,-58.2353798201123 -34.7147573219079,-58.2351371970816 -34.7146082022474,-58.2345814971414 -34.7142590142149,-58.234702808657 -34.7141020014126,-58.2344038447875 -34.7139262370218,-58.2342776627248 -34.7141828378445,-58.2337044899705 -34.7150177484462,-58.2335698937673 -34.7151502739385,-58.2333828602688 -34.715146535237,-58.2326355890464 -34.7148239299136,-58.2314126191499 -34.7163671661589,-58.2306074452205 -34.7158563836946,-58.2307588293821 -34.7156729746679,-58.2298467437019 -34.7151067732541,-58.2303199265818 -34.7145253808487,-58.229396847098 -34.7140060220804,-58.2290774239316 -34.7143837864362,-58.2281998963933 -34.713843517616,-58.2285224205072 -34.7134473204811,-58.2275892289086 -34.7128972285914,-58.2269409063243 -34.7136994459306,-58.2261445585766 -34.7132398455194,-58.2270489600884 -34.7125697929428,-58.2260830249249 -34.7119869574883,-58.225221869169 -34.7127007672023,-58.2259924357144 -34.713207584918,-58.2236997393197 -34.714694995389,-58.2243486043541 -34.7152745165876,-58.2244653924442 -34.7153474056084,-58.2246741200946 -34.7151022334475,-58.2253004613881 -34.7153718392375)),((-58.225477983129 -34.716398573357,-58.2252271360489 -34.7162667324806,-58.2253787929836 -34.7161375878171,-58.2251497112761 -34.7159999385978,-58.2248183871131 -34.7163590939568,-58.2236886024749 -34.7157465133605,-58.2228998652618 -34.7165532607938,-58.2233186840094 -34.7168152096939,-58.2234374948281 -34.716675926324,-58.2237433429875 -34.7168428678343,-58.2236605197789 -34.7173763434828,-58.2241030624919 -34.7177989615428,-58.2249659793809 -34.716919181007,-58.2253275950201 -34.7171466091487,-58.225782354334 -34.7166915543019,-58.2259768136722 -34.7168063463316,-58.2260852799385 -34.7166852349093,-58.2258944223883 -34.7165716505635,-58.2262439982778 -34.7161920261329,-58.2260180812195 -34.7160908613331,-58.2257911463492 -34.7163372213811,-58.225477983129 -34.716398573357)))"
1026,1139,El Progreso,Buenos Aires,Lomas de Zamora,Villa Albertina,400,440,Década 1970,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión formal a la red de agua con factura,Gas en garrafa,Sin Datos,NO,Asentamiento,96001,"MULTIPOLYGON (((-58.44150424 -34.7506398049999,-58.4399432684476 -34.7498030842762,-58.4386743978285 -34.751479308979,-58.4387592002971 -34.7518283924476,-58.4389536951188 -34.7518791190144,-58.4385921564537 -34.7520495394093,-58.4387811508021 -34.7523779786696,-58.4388816228458 -34.752443158455,-58.4390346944648 -34.7527654855388,-58.4400572817167 -34.7523259010387,-58.440277992958 -34.7522257065598,-58.441044098048 -34.7525896593515,-58.4411679760792 -34.7524391202403,-58.4412064826436 -34.7526094119161,-58.4421578193637 -34.7530933321048,-58.4422049876466 -34.7530163724673,-58.4423186155475 -34.7530949673681,-58.4422487175733 -34.7531820795314,-58.4424322839999 -34.753275522,-58.4429047986856 -34.7535185304266,-58.4428285192589 -34.7536131464056,-58.4437299646017 -34.7540618209371,-58.4440168440628 -34.7536822842244,-58.4431332422576 -34.753270168503,-58.4425201655273 -34.7529498908473,-58.4434998039999 -34.7517945939999,-58.44150424 -34.7506398049999)))"
1027,1140,Virgen de Luján,Buenos Aires,Vicente López,Carapachay,198,218,Década 1960,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Sin Datos,NO,Villa,12390,"MULTIPOLYGON (((-58.5255694127087 -34.5239832927323,-58.5254873167952 -34.5239522413386,-58.5252746024719 -34.5238458068365,-58.5252554017871 -34.5238749858521,-58.525163685134 -34.5238355799685,-58.5251056751655 -34.5239181927323,-58.5247928438268 -34.5237864711495,-58.5247223877794 -34.5238706555198,-58.5246248956815 -34.5240028769877,-58.5249476451972 -34.5241457630076,-58.5249005275118 -34.5241967374174,-58.5245786397716 -34.5240562296772,-58.5242849602362 -34.5244110194882,-58.5244244196303 -34.5244767526222,-58.5248587601181 -34.5246743267401,-58.5249627524489 -34.52471649037,-58.5254948140078 -34.5249739412676,-58.5255240021417 -34.5249664207637,-58.5256831756456 -34.5247729784094,-58.5254708508504 -34.5246707922834,-58.5257384912441 -34.5243401453936,-58.5259310998583 -34.5244405831495,-58.5260586619054 -34.5243004212362,-58.52572957 -34.524140912,-58.5256960876299 -34.5241234882441,-58.5257443438897 -34.5240547627558,-58.5259610336535 -34.5237776839921,-58.5258455975118 -34.5237192499764,-58.5257899761024 -34.5237328686141,-58.52569889146 -34.5238331228012,-58.5255694127087 -34.5239832927323)),((-58.52543056 -34.5250724979999,-58.524512176748 -34.5246075147401,-58.5244361449371 -34.5246739970393,-58.5253748487166 -34.5251694783227,-58.52543056 -34.5250724979999)))"
